Date,Open,High,Low,Close,Adj Close,Volume
2016-09-01,87.360001,88.309998,86.980003,88.309998,80.868942,29793300
2016-09-02,88.480003,88.870003,88.040001,88.199997,80.768227,17470400
2016-09-06,88.250000,88.639999,87.879997,88.639999,81.171143,14472100
2016-09-07,88.309998,88.410004,87.709999,87.949997,80.539276,17556400
2016-09-08,87.949997,88.180000,87.629997,87.779999,80.383614,23437800
2016-09-09,87.099998,87.169998,86.239998,86.239998,78.973366,21955000
2016-09-12,86.040001,88.379997,85.959999,88.250000,80.813995,16105700
2016-09-13,87.550003,87.910004,87.010002,87.050003,79.715126,19682700
2016-09-14,87.120003,87.599998,86.870003,87.010002,79.678497,25397900
2016-09-15,86.750000,88.269997,86.750000,88.059998,80.640015,13833600
2016-09-16,87.620003,88.110001,87.300003,88.050003,80.630852,23518300
2016-09-19,87.919998,88.949997,87.250000,88.370003,80.923904,18986600
2016-09-20,88.500000,88.949997,88.180000,88.580002,81.116203,33986500
2016-09-21,88.540001,88.790001,86.440002,87.800003,80.401932,55409800
2016-09-22,87.769997,89.300003,87.769997,88.989998,81.491646,52692700
2016-09-23,88.629997,88.940002,87.489998,87.760002,80.365288,48281400
2016-09-26,87.419998,88.430000,86.610001,87.849998,80.447708,60276600
2016-09-27,88.059998,88.809998,87.660004,88.360001,80.914742,65150800
2016-09-28,88.980003,89.730003,88.470001,89.459999,81.922058,89806000
2016-09-29,89.160004,89.269997,87.540001,88.230003,80.795708,74587500
2016-09-30,88.300003,90.220001,88.290001,89.750000,82.187614,123735700
2016-10-03,89.349998,89.449997,88.410004,88.660004,81.189461,26789500
2016-10-04,88.290001,88.680000,87.949997,88.349998,80.905563,23317600
2016-10-05,88.480003,89.000000,88.209999,88.849998,81.363449,64580300
2016-10-06,88.610001,89.730003,88.470001,89.220001,81.702271,61462800
2016-10-07,89.010002,90.050003,88.300003,90.000000,82.416542,20518800
2016-10-10,90.190002,90.330002,88.779999,89.059998,81.555756,14155100
2016-10-11,88.830002,89.120003,88.199997,88.540001,81.079575,11723100
2016-10-12,88.739998,89.010002,88.330002,88.570000,81.107048,17118000
2016-10-13,88.050003,88.570000,87.599998,88.239998,80.804848,11158100
2016-10-14,88.500000,88.959999,88.220001,88.430000,80.978836,7369000
2016-10-17,88.430000,88.650002,87.709999,87.830002,80.429390,7610600
2016-10-18,88.209999,88.269997,87.440002,87.449997,80.081398,10649000
2016-10-19,86.650002,86.820000,85.440002,85.540001,78.936668,12788800
2016-10-20,85.379997,85.519997,84.790001,84.930000,78.373764,10175100
2016-10-21,84.410004,84.860001,84.239998,84.330002,77.820076,13974100
2016-10-24,84.389999,84.699997,84.059998,84.099998,77.607841,10573200
2016-10-25,87.489998,88.080002,86.970001,86.970001,80.256287,20761200
2016-10-26,86.910004,87.739998,86.779999,87.400002,80.653099,8464100
2016-10-27,87.510002,87.599998,86.449997,86.580002,79.896393,6598300
2016-10-28,86.870003,87.230003,86.449997,86.839996,80.136307,7021100
2016-10-31,87.010002,87.470001,86.690002,86.800003,80.099411,8207100
2016-11-01,86.580002,86.989998,86.480003,86.849998,80.145554,8564500
2016-11-02,86.769997,87.410004,86.559998,86.739998,80.044029,7773200
2016-11-03,86.800003,86.980003,86.470001,86.599998,79.914848,6899900
2016-11-04,86.690002,86.730003,85.070000,85.080002,78.512192,9378100
2016-11-07,86.019997,86.570000,85.599998,86.559998,79.877930,8878500
2016-11-08,86.769997,87.690002,86.589996,87.459999,80.708473,7657000
2016-11-09,85.260002,86.540001,84.309998,85.930000,79.296570,11972500
2016-11-10,85.510002,85.699997,82.180000,82.959999,76.555847,22095000
2016-11-11,82.669998,84.059998,82.650002,83.580002,77.127975,8905700
2016-11-14,83.559998,83.779999,82.760002,83.000000,76.592758,12294000
2016-11-15,84.580002,84.580002,82.879997,83.620003,77.164902,9464000
2016-11-16,83.980003,84.199997,83.169998,83.190002,76.768074,8532600
2016-11-17,83.269997,83.500000,82.930000,83.070000,76.657356,9083700
2016-11-18,82.919998,83.099998,81.989998,82.000000,75.669945,14565500
2016-11-21,82.000000,82.750000,81.709999,82.639999,76.260551,11482100
2016-11-22,83.010002,83.180000,82.660004,82.760002,76.371284,7426500
2016-11-23,82.589996,82.930000,82.519997,82.680000,76.297462,7693300
2016-11-25,82.989998,83.459999,82.949997,83.459999,77.017242,3882900
2016-11-28,83.129997,83.360001,82.760002,83.070000,76.657356,6990100
2016-11-29,83.419998,83.480003,82.690002,82.889999,76.491249,6183100
2016-11-30,82.519997,82.830002,82.260002,82.459999,76.094452,12115500
2016-12-01,82.209999,82.320000,81.180000,81.860001,75.540756,12516900
2016-12-02,82.349998,82.680000,82.070000,82.400002,76.039070,9079400
2016-12-05,82.559998,83.080002,82.480003,82.989998,76.583519,8597500
2016-12-06,83.239998,83.250000,82.610001,82.910004,76.509689,7327200
2016-12-07,82.739998,84.279999,82.709999,84.180000,77.681664,8567700
2016-12-08,83.790001,84.180000,83.500000,83.500000,77.054153,7522800
2016-12-09,83.519997,84.400002,83.470001,84.370003,77.856995,8004500
2016-12-12,84.209999,85.180000,84.209999,85.129997,78.558327,7494100
2016-12-13,84.669998,85.360001,84.529999,85.180000,78.604469,11795900
2016-12-14,85.290001,85.739998,84.169998,84.370003,77.856995,12292200
2016-12-15,84.150002,84.800003,83.610001,84.680000,78.143066,8768100
2016-12-16,84.900002,85.120003,84.150002,84.680000,78.143066,18095400
2016-12-19,84.750000,84.980003,84.320000,84.709999,78.170753,6431200
2016-12-20,84.570000,84.709999,84.190002,84.570000,78.041557,7485400
2016-12-21,84.190002,84.730003,84.120003,84.279999,77.773949,6099300
2016-12-22,84.000000,84.610001,83.870003,84.470001,77.949272,7864800
2016-12-23,84.680000,85.180000,84.550003,84.959999,78.401443,5271700
2016-12-27,84.900002,84.940002,84.419998,84.599998,78.069237,3782600
2016-12-28,84.400002,84.629997,83.949997,84.070000,77.580154,4298800
2016-12-29,84.239998,84.489998,84.099998,84.349998,77.838547,3684900
2016-12-30,84.169998,84.449997,83.919998,84.080002,77.589386,6209800
2017-01-03,83.879997,84.389999,83.500000,84.199997,77.700111,8792700
2017-01-04,84.449997,84.599998,84.239998,84.500000,77.976967,8096700
2017-01-05,84.410004,85.430000,84.379997,85.059998,78.493721,6852400
2017-01-06,84.940002,85.250000,84.620003,85.029999,78.466034,4799900
2017-01-09,84.059998,84.660004,83.750000,84.400002,77.884674,10981100
2017-01-10,84.339996,84.430000,83.239998,83.489998,77.044922,10918200
2017-01-11,83.389999,83.750000,83.279999,83.750000,77.284859,9572300
2017-01-12,83.709999,83.879997,83.370003,83.839996,77.367897,6545400
2017-01-13,83.849998,84.019997,83.440002,84.010002,77.524788,6762800
2017-01-17,83.900002,85.580002,83.879997,85.209999,78.632156,13097600
2017-01-18,84.800003,85.300003,84.589996,84.930000,78.994438,10520400
2017-01-19,84.629997,85.000000,84.279999,84.699997,78.780495,14074500
2017-01-20,86.889999,87.980003,86.419998,87.449997,81.338318,22944400
2017-01-23,87.089996,87.349998,86.849998,86.959999,80.882568,9408900
2017-01-24,87.220001,87.949997,87.220001,87.860001,81.719658,8704700
2017-01-25,87.839996,87.900002,87.059998,87.160004,81.068573,8082900
2017-01-26,87.120003,87.230003,86.589996,86.599998,80.547722,6542300
2017-01-27,86.449997,86.849998,86.019997,86.720001,80.659332,9332300
2017-01-30,86.779999,86.860001,86.500000,86.750000,80.687241,7350000
2017-01-31,86.629997,87.660004,86.529999,87.599998,81.477829,9712400
2017-02-01,87.029999,87.589996,86.750000,87.330002,81.226700,8291000
2017-02-02,87.610001,88.349998,87.250000,87.760002,81.626656,8997200
2017-02-03,88.120003,88.169998,87.389999,87.410004,81.301109,7161900
2017-02-06,87.500000,87.790001,87.129997,87.400002,81.291817,7483000
2017-02-07,87.639999,88.279999,87.480003,88.010002,81.859177,6646100
2017-02-08,88.070000,88.339996,87.809998,88.330002,82.156815,6815800
